Delay (Days),Bugs Found,Bugs Fixed,Bug Fix Ratio,Team Size,Hours Worked,Budget (USD),Risk Factor,Critical Issues Found,Critical Issue Ratio,Feature Delivery Ratio,Team Skill Level,Resource Utilization Rate,Client Involvement,Complexity Score
42.099999999999994,97,8,0.08247422680412371,11,614,69786,5,8,0.08247422680412371,1.0,Medium,95,Medium,Medium
50.0,84,52,0.6190476190476191,19,1413,182983,6,30,0.35714285714285715,0.8125,Low,68,High,Medium
50.0,77,45,0.5844155844155844,10,1917,89551,10,22,0.2857142857142857,0.6111111111111112,Low,89,High,Medium
39.2,42,16,0.38095238095238093,13,1153,114500,6,15,0.35714285714285715,0.3333333333333333,High,97,High,Medium
50.0,96,74,0.7708333333333334,11,311,60771,6,23,0.23958333333333334,0.8125,Low,76,Medium,Medium
50.0,99,55,0.5555555555555556,19,302,71356,5,46,0.46464646464646464,0.0,High,69,Medium,Low
50.0,83,66,0.7951807228915663,5,1510,52723,6,35,0.42168674698795183,0.9387755102040817,Low,72,High,High
21.0,27,27,1.0,12,1220,182462,3,3,0.1111111111111111,0.92,High,88,High,High
50.0,73,35,0.4794520547945205,15,276,107667,7,35,0.4794520547945205,0.0,Low,79,High,High
50.0,100,99,0.99,18,1151,97780,2,33,0.33,0.3,High,80,Medium,Low
26.9,13,8,0.6153846153846154,18,1042,66814,7,6,0.46153846153846156,0.8387096774193549,High,50,Low,Medium
12.3,14,3,0.21428571428571427,13,488,160223,2,1,0.07142857142857142,0.6666666666666666,Medium,87,Low,Low
13.7,10,0,0.0,20,1919,126924,2,1,0.1,0.9210526315789473,Medium,84,Low,Low
46.9,53,52,0.9811320754716981,7,1629,174305,4,14,0.2641509433962264,0.9473684210526315,Medium,70,High,Low
16.299999999999997,13,3,0.23076923076923078,13,1322,58225,3,5,0.38461538461538464,0.6153846153846154,Medium,98,Medium,Low
50.0,70,8,0.11428571428571428,8,250,183010,9,18,0.2571428571428571,0.75,Medium,86,Medium,Medium
14.0,15,15,1.0,6,1017,127255,3,0,0.0,0.7222222222222222,Medium,85,Medium,Medium
34.4,93,70,0.7526881720430108,13,822,120744,5,2,0.021505376344086023,0.8421052631578947,High,100,Medium,Medium
20.8,21,14,0.6666666666666666,19,1876,166837,10,2,0.09523809523809523,0.6896551724137931,Low,65,Medium,Medium
50.0,99,3,0.030303030303030304,12,1963,160271,2,29,0.29292929292929293,1.0,Low,88,Low,Medium
50.0,63,29,0.4603174603174603,13,1070,121955,2,24,0.38095238095238093,0.8,Medium,99,Medium,Low
50.0,48,2,0.041666666666666664,18,282,120281,8,24,0.5,0.8888888888888888,High,60,High,High
